Date,netDailyChange,Portfolio Value
2009-01-02,0.024126071470538957,100000.0
2009-01-05,-0.003547424795991167,99645.25752040089
2009-01-06,-0.0011442685363798576,99531.23658742083
2009-01-07,-0.009833297051094475,98552.51637219396
2009-01-08,0.0001999785885776815,98572.22476531885
2009-01-09,-0.011001760142580804,97487.75679173025
2009-01-12,-0.005746972693310561,96927.49731551607
2009-01-13,0.005594533508185901,97469.76144711232
2009-01-14,-0.02142847952564594,95381.13265957328
2009-01-15,0.0005738935264376322,95435.8712741509
2009-01-16,0.012662571636795558,96644.33483087983
2009-01-20,-0.01538314917257331,95157.64061149229
2009-01-21,0.006571181257727405,95782.93871600808
2009-01-22,0.009816491413050934,96723.19111143055
2009-01-23,-0.011803390956069129,95581.52947222374
2009-01-26,0.009245970136610805,96465.2734393355
2009-01-27,0.023545179202178718,98736.56558925183
2009-01-28,0.011154600763076738,99837.93255911727
2009-01-29,-0.0027790739924882764,99560.47555727842
2009-01-30,-0.01886592414284883,97682.17517778886
2009-02-02,-0.00018543839852968715,97664.06115165899
2009-02-03,0.017003822482060844,99324.72351035893
2009-02-04,-0.0178599170683744,97550.79218562471
2009-02-05,0.004023651980069506,97943.30262375975
2009-02-06,0.009188521806732916,98843.2567957416
2009-02-09,-0.002915107651108825,98555.11806159583
2009-02-10,-0.03480389724910848,95125.0158592063
2009-02-11,0.006620705502284801,95754.81057511027
2009-02-12,0.006116875140532309,96340.53079550354
2009-02-13,-0.004523154157832355,95904.76772306809
2009-02-17,-0.03016122059469004,93012.16286769012
2009-02-18,-0.00018321359779670845,92995.12177469228
2009-02-19,0.0033069841822952954,93302.6551714318
2009-02-20,-0.012986155370020737,92091.01239494012
2009-02-23,-0.022503249546109366,90018.66536206292
2009-02-24,0.017176934551362148,91564.91008538805
2009-02-25,-0.008558136197851198,90781.2851139333
2009-02-26,-0.02177917900943912,88804.14325473002
2009-02-27,-0.01429921439996287,87534.31377072562
2009-03-02,-0.030604890945651164,84855.33564377016
2009-03-03,-0.005040079349827241,84427.65801886933
2009-03-04,0.018611136456174977,85998.95268293378
2009-03-05,-0.03539044234779956,82955.41170603728
2009-03-06,0.006702602187950962,83511.42883004055
2009-03-09,-0.030924928001650275,80928.8439061566
2009-03-10,0.019773534091928724,82529.09316015537
2009-03-11,0.0016113549073910856,82662.07681942153
2009-03-12,0.026864562023863905,84882.75730915829
2009-03-13,0.021666858646997782,86721.90001334324
2009-03-16,0.007385278222928043,87362.36537296273
2009-03-17,0.011096226211462034,88331.75794150952
2009-03-18,-0.005028979744369207,87887.53932003715
2009-03-19,-0.009775716192348748,87028.37567880057
2009-03-20,0.01062252166695829,87952.83648508882
2009-03-23,0.03604781543018807,91123.34410126481
2009-03-24,-0.01110693202914011,90111.24331206412
2009-03-25,0.0034736251197078757,90424.25599040101
2009-03-26,0.0041790159698599305,90802.1404002476
2009-03-27,-0.010833481936909422,89818.4370523888
2009-03-30,-0.004738011777015312,89392.87623984148
2009-03-31,0.0004799159926630884,89435.77731077913
2009-04-01,0.016316011211100025,90895.01245605525
2009-04-02,0.009094366131458125,91721.64497885406
2009-04-03,-0.003529619690553387,91397.90245468676
2009-04-06,0.0038390907684780285,91748.7872982588
2009-04-07,-0.007519937628199265,91058.84214031298
2009-04-08,0.006620865607199472,91661.73049647118
2009-04-09,0.0058736622850128544,92200.12054586732
2009-04-13,-0.004540597438821694,91781.4769146577
2009-04-14,-0.002796582601998088,91524.80243313249
2009-04-15,0.011214308256761384,92551.18978075682
2009-04-16,0.009432739131413072,93424.2010102606
2009-04-17,0.005678705805973251,93954.72956295598
2009-04-20,-0.011445902136978946,92879.33292307207
2009-04-21,0.0032207678057545215,93178.47568837066
2009-04-22,-0.015906483917644747,91696.33376336294
2009-04-23,0.007913074064799692,92421.93364390303
2009-04-24,-0.010321126189537778,91468.03520408322
2009-04-27,-0.002449678482576668,91243.96792640022
2009-04-28,0.002727545024907888,91492.83995717073
2009-04-29,0.009710446544607782,92381.27628878919
2009-04-30,0.028669918830840777,95029.83998147825
2009-05-01,0.009992251546148988,95979.40204696346
2009-05-04,0.02204351268564661,98095.12521354647
2009-05-05,-0.0037487170796158546,97727.3943422314
2009-05-06,-0.005562832249293632,97183.75324134501
2009-05-07,0.004687948150541408,97639.34563761545
2009-05-08,0.004132053617342764,98042.79664895234
2009-05-11,-0.005638167118776738,97490.0149766533
2009-05-12,0.009084816970577161,98375.69391917503
2009-05-13,-0.00796651047104817,97591.9829234713
2009-05-14,0.006545605157747161,98230.78151024994
2009-05-15,0.0007482831613260106,98304.28594997796
2009-05-18,0.014699863313178558,99749.34551654225
2009-05-19,-0.00040287015769479147,99709.15948198405
2009-05-20,-0.002079718983880537,99501.7924501426
2009-05-21,-0.0064051389121668875,98864.46964748984
2009-05-22,-0.0009039125265546867,98775.10481494428
2009-05-26,0.013432480210244856,100101.89945563588
2009-05-27,-0.015514633248349667,98548.85519811852
2009-05-28,0.006877254132347185,99226.60071976786
2009-05-29,0.006677854579768321,99889.2215298192
2009-06-01,0.013667069346101833,101254.41444739536
2009-06-02,0.009626155926463376,102229.10522910874
2009-06-03,-0.0036677418452615296,101854.15526205629
2009-06-04,-0.004160227262197328,101430.418828567
2009-06-05,-0.0019376522801339397,101233.88194624888
2009-06-08,0.003253576622796244,101563.2541379841
2009-06-09,-0.003336379558822219,101224.40057295066
2009-06-10,-0.005289450605091073,100688.97910609009
2009-06-11,0.007428151519181607,101436.91209920184
2009-06-12,0.0023168428400529573,101671.92548271596
2009-06-15,-0.022329353797784862,99401.65708731038
2009-06-16,-0.003280065259855389,99075.61316512623
2009-06-17,0.0105445281624813,100120.318758361
2009-06-18,0.014438809280051713,101565.93694597096
2009-06-19,0.004364761438266727,102009.24803099416
2009-06-22,-0.00837536362600529,101154.88348551923
2009-06-23,-0.0029779846348365114,100853.64579676067
2009-06-24,0.00821616093433308,101682.27558144108
2009-06-25,0.016079632185783944,103317.28917260417
2009-06-26,0.002080347384723019,103532.22502493107
2009-06-29,0.005046449658991956,104054.69518660281
2009-06-30,-0.002914254348996183,103751.45333862178
2009-07-01,0.01221142670351487,105018.4066064495
2009-07-02,-0.017089403398636988,103223.7046916698
2009-07-06,0.013714642998727825,104639.38095052216
2009-07-07,-0.00855481153301202,103744.21076755939
2009-07-08,0.009640674538570312,104744.37493883027
2009-07-09,-0.0058663064117928385,104129.91234052737
2009-07-10,0.0007582827197963372,104208.8722536691
2009-07-13,0.014220071549028938,105690.7298731599
2009-07-14,0.0056554406440819105,106288.45752258725
2009-07-15,0.012741719089741012,107642.75519082193
2009-07-16,0.00463131858118967,108141.28308306764
2009-07-17,-0.00404719510185432,107703.61421186561
2009-07-20,0.0027761461898688435,108002.61519009499
2009-07-21,0.0042403414861311925,108460.58315989621
2009-07-22,0.001595615207133158,108633.64451576066
2009-07-23,0.021458644941860505,110964.77532216467
2009-07-24,0.0059887500717712575,111629.31562833936
2009-07-27,-0.0023625486106843654,111365.58594378998
2009-07-28,-0.0019294093760118451,111150.71613810498
2009-07-29,0.0016309493840348033,111331.99733012545
