Date,netDailyChange,Portfolio Value
2009-01-02,0.04270541733482532,100000.0
2009-01-05,0.03178156179845151,103178.15617984516
2009-01-06,0.01182191343053996,104397.91941012602
2009-01-07,-0.023850837102441038,101907.94164044134
2009-01-08,0.011562172237691003,103086.21881407668
2009-01-09,-0.022616571333460362,100754.76199277141
2009-01-12,-0.01507130725981087,99236.25601688924
2009-01-13,-0.003418611837275373,98897.005777383
2009-01-14,-0.030097095366821237,95920.49316300804
2009-01-15,-0.012420345015566582,94729.12754386019
2009-01-16,-0.0066189528974699855,94102.11991062896
2009-01-20,-0.0505827109486076,89342.1795795384
2009-01-21,0.050118023322396975,93819.83301937948
2009-01-22,0.03096038390508422,96724.53106757037
2009-01-23,-0.006700748107165438,96076.40434910289
2009-01-26,0.0023845579983500847,96305.50410754625
2009-01-27,0.051239925069445365,101240.19092179208
2009-01-28,0.03430597751520605,104713.33463519024
2009-01-29,-0.005699349814082837,104116.53671090517
2009-01-30,-0.011345457357520178,102935.28698343891
2009-02-02,0.0076753974750321165,103725.3562252433
2009-02-03,0.011741246406473676,104943.22119128314
2009-02-04,0.00048629947251149406,104994.25502439211
2009-02-05,0.041128086024892305,109312.46777715479
2009-02-06,0.02101554742923557,111609.72912833237
2009-02-09,0.007432709722742928,112439.29184717723
2009-02-10,-0.03388423121071143,108629.37288505881
2009-02-11,0.00276689659821484,108929.93912736069
2009-02-12,0.02042053314186038,111154.34655945179
2009-02-13,0.004208365688572239,111622.12469764825
2009-02-17,-0.04543305080319346,106550.7910354996
2009-02-18,0.0012823032948398394,106687.42146591221
2009-02-19,-0.02000634260909703,104552.99635998404
2009-02-20,0.0020236640129480234,104764.57649616363
2009-02-23,-0.03578537808859858,101015.53651595651
2009-02-24,0.03234326801475968,104282.70908714684
2009-02-25,0.00352905173540927,104650.72816262401
2009-02-26,-0.021383303505773676,102412.94988022241
2009-02-27,0.007446427469975992,103175.56048349178
2009-03-02,-0.027188617236755155,100370.35966131843
2009-03-03,0.008286973612308596,101202.1261832897
2009-03-04,0.02191166028859973,103419.63279270194
2009-03-05,-0.02730706116476167,100595.54655439444
2009-03-06,-0.01703932014180525,98881.46683181425
2009-03-09,-0.017006302901727197,97199.85865550532
2009-03-10,0.03654719440347088,100752.24078577796
2009-03-11,0.01584203072187617,102348.36087960412
2009-03-12,0.048637022149119746,107326.28037463153
2009-03-13,0.0036707361430711226,107720.24683110407
2009-03-16,-0.011122686153604375,106522.1083332129
2009-03-17,0.049775054705927545,111824.25210288932
2009-03-18,0.009723044905334302,112911.52432759113
2009-03-19,-0.008206652969225339,111984.89863120834
2009-03-20,0.0013107007395012254,112131.67732065724
2009-03-23,0.051360002419282784,117890.76053912443
2009-03-24,-0.008802971660416598,116852.97151507356
2009-03-25,-0.007635709316914547,115960.71619176675
2009-03-26,0.02127971979383398,118428.32773941985
2009-03-27,-0.02426723316941457,115554.3998963035
2009-03-30,-0.00620267449097377,114837.65356774691
2009-03-31,0.011111254879913001,116113.64400634929
2009-04-01,0.010909182950423002,117380.34899185484
2009-04-02,0.025882913996009612,120418.49446963261
2009-04-03,0.02365086034743951,123266.4954655828
2009-04-06,0.011344460892036898,124664.88740269055
2009-04-07,-0.025334974817238225,121506.50561974954
2009-04-08,0.01457512508279929,123277.47813753125
2009-04-09,0.0319269163406987,127213.34786872052
2009-04-13,0.012115746209546167,128754.63250596465
2009-04-14,-0.02621821675573938,125378.91564261769
2009-04-15,-0.004758760523029892,124782.26740843731
2009-04-16,0.018590049362740325,127101.97591915482
2009-04-17,0.009463647023408638,128304.82415523149
2009-04-20,-0.020086263856728764,125727.65960315832
2009-04-21,0.0070044723220717385,126608.3155149675
2009-04-22,-0.0047570013468427935,126006.03958754131
2009-04-23,0.0225988738198974,128853.63417672516
2009-04-24,-0.01241445416695739,127253.98664099231
2009-04-27,0.007615964129989173,128223.14843864823
2009-04-28,-0.0012963292039593055,128056.9290267036
2009-04-29,0.01457641639715136,129923.54014673729
2009-04-30,0.007455118284128153,130892.13550642389
2009-05-01,-0.008743939057476825,129747.62265045271
2009-05-04,0.027325146255034554,133292.99541561937
2009-05-05,0.004752903229467673,133926.52412399568
2009-05-06,-0.011433860821950137,132395.22688679438
2009-05-07,-0.027834371136066995,128710.08900498354
2009-05-08,0.007474471721291765,129672.12892549623
2009-05-11,-0.0016005302388279088,129464.58476201778
2009-05-12,-0.01506829144197147,127513.77466740987
2009-05-13,-0.039965722498823,122417.59453427473
