Date,Average Price,Volume
01-03-1996,4.375,927200
04-03-1996,4.2265625,572800
05-03-1996,4.078125,576000
06-03-1996,3.875,1272000
07-03-1996,3.81640625,396000
08-03-1996,3.75,3693600
11-03-1996,3.6328125,1163200
12-03-1996,3.671875,433600
13-03-1996,3.671875,540800
14-03-1996,3.765625,220000
15-03-1996,4.125,2312000
18-03-1996,4.43359375,1821600
19-03-1996,4.5,1346400
20-03-1996,4.453125,220000
21-03-1996,4.40625,288800
22-03-1996,4.390625,45600
25-03-1996,4.1953125,1123200
26-03-1996,4.140625,1524000
27-03-1996,4.296875,503200
28-03-1996,4.29296875,526400
29-03-1996,4.2578125,764000
01-04-1996,4.34765625,1780800
02-04-1996,4.46875,1393600
03-04-1996,4.4609375,265600
04-04-1996,4.453125,341600
08-04-1996,4.359375,544000
09-04-1996,4.4375,127200
10-04-1996,4.39453125,1596000
11-04-1996,4.2734375,337600
12-04-1996,4.3125,74400
15-04-1996,4.34375,243200
16-04-1996,4.34375,84000
17-04-1996,4.359375,177600
18-04-1996,4.359375,171200
19-04-1996,4.3125,270400
22-04-1996,4.2578125,1521600
23-04-1996,4.16796875,1447200
24-04-1996,4.25,701600
25-04-1996,4.30078125,172000
26-04-1996,4.1953125,323200
29-04-1996,4.1640625,165600
30-04-1996,4.1484375,1024000
01-05-1996,4.1484375,199200
02-05-1996,4.125,3203200
03-05-1996,4.2890625,547200
06-05-1996,4.4140625,612800
07-05-1996,4.484375,929600
08-05-1996,4.421875,508800
09-05-1996,4.375,116000
10-05-1996,4.34375,377600
13-05-1996,4.3984375,208800
14-05-1996,4.4140625,344800
15-05-1996,4.40625,1377600
16-05-1996,4.3125,577600
17-05-1996,4.34375,108800
20-05-1996,4.421875,530400
21-05-1996,4.4453125,981600
22-05-1996,4.390625,212800
23-05-1996,4.3984375,280800
24-05-1996,4.3828125,204000
28-05-1996,4.390625,482400
29-05-1996,4.3671875,1886400
30-05-1996,4.3046875,1328800
31-05-1996,4.3125,5281600
03-06-1996,4.25,79200
04-06-1996,4.21875,392000
05-06-1996,4.1953125,62400
06-06-1996,4.20703125,45600
07-06-1996,4.1484375,252800
10-06-1996,4.15625,92000
11-06-1996,4.109375,285600
12-06-1996,4.046875,423200
13-06-1996,4.046875,350400
14-06-1996,4.0625,73600
17-06-1996,4.109375,3002400
18-06-1996,4.0234375,431200
19-06-1996,3.9238282442092896,586400
20-06-1996,3.8984375,173600
21-06-1996,3.8984375,292000
24-06-1996,3.765625,1236800
25-06-1996,3.5546875,1545600
26-06-1996,3.4765625,492800
27-06-1996,3.47265625,728800
28-06-1996,3.53125,430400
01-07-1996,3.5161132216453552,103200
02-07-1996,3.4609375,2148000
03-07-1996,3.46484375,2692000
05-07-1996,3.4609375,45600
08-07-1996,3.4453125,89600
09-07-1996,3.41015625,1738400
10-07-1996,3.34375,76800
11-07-1996,3.25390625,712000
12-07-1996,3.1953125,1608000
15-07-1996,3.171875,298400
16-07-1996,3.1484375,560800
17-07-1996,3.296875,816800
18-07-1996,3.28125,211200
19-07-1996,3.34375,2097600
22-07-1996,3.40625,59200
23-07-1996,3.375,120800
24-07-1996,3.3203125,438400
25-07-1996,3.359375,396800
26-07-1996,3.355468988418579,225600
29-07-1996,3.37109375,210400
30-07-1996,3.359375,146400
31-07-1996,3.38671875,202400
01-08-1996,3.3613282442092896,59200
02-08-1996,3.35546875,145600
05-08-1996,3.3671875,424000
06-08-1996,3.34765625,131200
07-08-1996,3.3515625,67200
08-08-1996,3.3417969942092896,252800
09-08-1996,3.3515625,542400
12-08-1996,3.3125,1426400
13-08-1996,3.328125,476800
14-08-1996,3.3203125,631200
15-08-1996,3.3671875,1089600
16-08-1996,3.40625,764000
19-08-1996,3.453125,501600
20-08-1996,3.46875,822400
21-08-1996,3.4609375,262400
22-08-1996,3.453125,35200
23-08-1996,3.453125,713600
26-08-1996,3.2734375,4136800
27-08-1996,3.1328125,619200
28-08-1996,3.1796875,374400
29-08-1996,3.1796875,57600
30-08-1996,3.1674805283546448,264000
03-09-1996,3.08203125,2284000
04-09-1996,3.015625,939200
05-09-1996,3.015625,2064800
06-09-1996,3.078125,3744000
09-09-1996,3.31640625,4119200
10-09-1996,3.44921875,3629600
11-09-1996,3.625,6716000
12-09-1996,3.5234375,1772800
13-09-1996,3.5234375,966400
16-09-1996,3.5390625,1079200
17-09-1996,3.5078125,462400
18-09-1996,3.4433594942092896,789600
19-09-1996,3.40625,2044000
20-09-1996,3.3984375,267200
23-09-1996,3.32421875,924000
24-09-1996,3.2612305283546448,379200
25-09-1996,3.28125,837600
